"","Region","Site","Quadrat","date_taken","annotation_status","Latitude","Longitude","Original.File.Name","Ascidians..stalked..Solitary","Ascidians..stalked.Colonial","Ascidians..Unstalked..Colonial","Ascidians..Unstalked..Solitary","Bryozoa..hard","Bryozoa..hard..encrusting","Bryozoa..Soft","Bryozoa..Soft..Foliaceous","Crustacea..Barnacles","Crustacea..Barnacles..Acorn","Echinoderms..sea.urchin..regular.urchins","Erect.coarse.branching.brown..Sargassum.sp.","Macroalgae..Articulated.calcareous..red","Macroalgae..Encrusting..brown","Macroalgae..Encrusting..red","Macroalgae..Erect.coarse.branching.brown","Macroalgae..Erect.coarse.branching.red","Macroalgae..Erect.fine.branching.brown","Macroalgae..Erect.fine.branching.green","Macroalgae..Erect.fine.branching.red","Macroalgae..Filamentous...filiform...brown","Macroalgae..Filamentous...filiform...green","Macroalgae..Filamentous...filiform...red","Macroalgae..Globose...saccate.brown","Macroalgae..Laminate..brown","Macroalgae..Laminate..brown..Zonaria.sp.","Macroalgae..Large.canopy.forming...Ecklonia","Molluscs..Gastropods","No.Data","Seagrasses..Elliptical.Leaves","Seagrasses..Strap.like.leaves","Shadow","Sponges..Erect.forms","Sponges.crusts","Substrate..Consolidated..hard..Boulders","Substrate..Consolidated..hard..Cobbles","Substrate..Consolidated..hard..Rock","Substrate..Unconsolidated...pebble.gravel","Substrate..Unconsolidated..Sand.Mud...2mm.","northing","easting","dominant","max_val"
"1","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066416666667,151.305080555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0040D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,56,0,0,0,0,4,0,0,0,0,0,0,16,6257991.46407964,343115.261107471,"Macroalgae..Large.canopy.forming...Ecklonia",56
"2","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066472222222,151.305075,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0041D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,20,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,52,6257990.94771564,343114.837970817,"Substrate..Unconsolidated..Sand.Mud...2mm.",52
"3","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066583333333,151.30505,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0042D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,4,6257989.81776597,343112.442027782,"Macroalgae..Large.canopy.forming...Ecklonia",80
"4","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066583333333,151.305036111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0043D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,0,4,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,44,6257989.52477525,343111.399395405,"Substrate..Unconsolidated..Sand.Mud...2mm.",44
"5","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066555555556,151.305019444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0044D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,4,16,0,0,0,40,0,12,0,0,0,0,0,0,0,0,0,0,4,0,6257989.91242163,343109.724878422,"Macroalgae..Laminate..brown",40
"6","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066444444444,151.304983333333,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0045D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4,0,0,32,0,16,0,0,0,0,4,0,0,0,0,0,0,32,6257991.1107953,343106.24671283,"Macroalgae..Laminate..brown",32
"7","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.8066444444444,151.304983333333,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0045D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,16,0,0,0,20,0,12,0,0,0,0,0,0,0,0,0,0,0,40,6257991.16834874,343106.377502573,"Substrate..Unconsolidated..Sand.Mud...2mm.",40
"8","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066361111111,151.304961111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0046D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,8,0,0,0,0,0,52,0,0,0,0,4,0,0,0,0,0,8,4,6257991.96382194,343104.33021886,"Macroalgae..Large.canopy.forming...Ecklonia",52
"9","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.806625,151.304941666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0047D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,4,44,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,0,0,4,0,0,0,0,6257993.38874771,343102.493663676,"Macroalgae..Encrusting..red",44
"10","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.806625,151.304941666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0047D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,12,0,0,0,24,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6257993.17642161,343102.405546702,"Macroalgae..Large.canopy.forming...Ecklonia",40
"11","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066111111111,151.304925,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0048D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,0,36,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,4,6257994.74684421,343101.019035172,"Macroalgae..Filamentous...filiform...brown",36
"12","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.8066111111111,151.304925,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0048D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,0,0,8,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,20,8,6257994.80325441,343100.906841379,"Macroalgae..Articulated.calcareous..red",24
"13","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8066,151.304905555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0049D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,12,8,28,0,0,0,0,0,16,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,4,8,6257995.86831755,343098.985431193,"Macroalgae..Encrusting..red",28
"14","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.8066,151.304905555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0049D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,28,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6257995.80362019,343098.826085262,"Macroalgae..Encrusting..red",44
"15","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8065805555556,151.304863888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0051D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0,0,32,0,0,0,12,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6257998.17855417,343095.267370573,"Macroalgae..Filamentous...filiform...brown",32
"16","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.8065805555556,151.304863888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0051D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,68,0,0,0,8,0,4,0,0,0,0,0,0,0,4,0,0,4,4,6257997.76922436,343095.15038412,"Macroalgae..Filamentous...filiform...brown",68
"17","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8065666666667,151.304841666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0052D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,4,0,0,0,0,4,0,0,0,16,0,20,0,0,0,0,4,0,0,0,0,0,0,24,6257999.59450098,343093.070738116,"Substrate..Unconsolidated..Sand.Mud...2mm.",24
"18","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",33.8065666666667,151.304841666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0052D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,4,0,44,0,4,0,0,8,0,0,0,0,0,8,0,6257999.5102212,343093.166740764,"Macroalgae..Large.canopy.forming...Ecklonia",44
"19","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",33.8065472222222,151.304825,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0053D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,60,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,6258001.73877387,343091.576103709,"Macroalgae..Encrusting..red",60
