"","Region","Site","Quadrat","date_taken","annotation_status","Latitude","Longitude","Original.File.Name","Ascidians..stalked..Solitary","Ascidians..stalked.Colonial","Ascidians..Unstalked..Colonial","Ascidians..Unstalked..Solitary","Bryozoa..hard","Bryozoa..hard..encrusting","Bryozoa..Soft","Bryozoa..Soft..Foliaceous","Crustacea..Barnacles","Crustacea..Barnacles..Acorn","Echinoderms..sea.urchin..regular.urchins","Erect.coarse.branching.brown..Sargassum.sp.","Macroalgae..Articulated.calcareous..red","Macroalgae..Encrusting..brown","Macroalgae..Encrusting..red","Macroalgae..Erect.coarse.branching.brown","Macroalgae..Erect.coarse.branching.red","Macroalgae..Erect.fine.branching.brown","Macroalgae..Erect.fine.branching.green","Macroalgae..Erect.fine.branching.red","Macroalgae..Filamentous...filiform...brown","Macroalgae..Filamentous...filiform...green","Macroalgae..Filamentous...filiform...red","Macroalgae..Globose...saccate.brown","Macroalgae..Laminate..brown","Macroalgae..Laminate..brown..Zonaria.sp.","Macroalgae..Large.canopy.forming...Ecklonia","Molluscs..Gastropods","No.Data","Seagrasses..Elliptical.Leaves","Seagrasses..Strap.like.leaves","Shadow","Sponges..Erect.forms","Sponges.crusts","Substrate..Consolidated..hard..Boulders","Substrate..Consolidated..hard..Cobbles","Substrate..Consolidated..hard..Rock","Substrate..Unconsolidated...pebble.gravel","Substrate..Unconsolidated..Sand.Mud...2mm.","northing","easting"
"1","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8066583333333,151.30505,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0042D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,4,6257989.81776607,343112.44202797
"2","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8066555555556,151.305019444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0044D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,4,16,0,0,0,40,0,12,0,0,0,0,0,0,0,0,0,0,4,0,6257989.91242172,343109.72487861
"3","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8066361111111,151.304961111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0046D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,8,0,0,0,0,0,52,0,0,0,0,4,0,0,0,0,0,8,4,6257991.96382204,343104.330219048
"4","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.806625,151.304941666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0047D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,4,44,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,0,0,4,0,0,0,0,6257993.3887478,343102.493663865
"5","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.806625,151.304941666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0047D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,12,0,0,0,24,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6257993.17642171,343102.405546891
"6","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8066111111111,151.304925,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0048D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,0,36,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,4,6257994.7468443,343101.019035361
"7","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8066,151.304905555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0049D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,12,8,28,0,0,0,0,0,16,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,4,8,6257995.86831765,343098.985431381
"8","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8066,151.304905555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0049D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,28,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6257995.80362029,343098.82608545
"9","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8065805555556,151.304863888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0051D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0,0,32,0,0,0,12,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6257998.17855426,343095.267370761
"10","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8065805555556,151.304863888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0051D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,68,0,0,0,8,0,4,0,0,0,0,0,0,0,4,0,0,4,4,6257997.76922446,343095.150384309
"11","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8065666666667,151.304841666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0052D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,4,0,44,0,4,0,0,8,0,0,0,0,0,8,0,6257999.51022129,343093.166740952
"12","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8065472222222,151.304825,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0053D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,60,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,6258001.73877397,343091.576103897
"13","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8065472222222,151.304825,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0053D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,36,4,8,0,0,0,0,0,24,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,4,6258001.68071761,343091.55337191
"14","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8065388888889,151.304805555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0054D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258002.7410427,343089.770647493
"15","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.806525,151.304780555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0055D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258003.91404194,343087.417296102
"16","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.806525,151.304780555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0055D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258004.19299835,343087.346538971
"17","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8064972222222,151.304741666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0057D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,4,6258007.25058345,343083.489391128
"18","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8064972222222,151.304741666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0057D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,6258007.05561206,343083.750308872
"19","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8064583333333,151.304669444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0060D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258011.0123611,343076.925921083
"20","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8064583333333,151.304669444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0060D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,6258011.30525547,343076.915954406
"21","Sydney","Manly.Outside","3","2014-03-04","verified_by_human",-33.8064583333333,151.304669444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0060D.jpg_3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,4,6258011.19787592,343076.784458718
"22","Sydney","Manly.Outside","4","2014-03-04","verified_by_human",-33.8064583333333,151.304669444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0060D.jpg_4.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258011.33675206,343076.883718951
"23","Sydney","Manly.Outside","5","2014-03-04","verified_by_human",-33.8064583333333,151.304669444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0060D.jpg_5.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258011.28649541,343076.973328113
"24","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8064277777778,151.304605555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0063D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258014.58043136,343070.951111684
"25","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063972222222,151.304536111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0066D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,4,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,6258017.9386818,343064.51571894
"26","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258019.00515089,343062.651260302
"27","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258018.95589914,343062.51893485
"28","Sydney","Manly.Outside","3","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,6258018.97400061,343062.61514135
"29","Sydney","Manly.Outside","4","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_4.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258018.86096868,343062.617211811
"30","Sydney","Manly.Outside","5","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_5.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258018.94330821,343062.650709466
"31","Sydney","Manly.Outside","6","2014-03-04","verified_by_human",-33.8063861111111,151.304516666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0067D.jpg_6.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,6258018.97766047,343062.766643343
